date,machine_no,model,diff,spins,big,reg,event_tag,,
2025/3/13,781,ジャグラーガールズ,-100,"5,658",21,14,チャリ店就任,リニューアルオープン,0
2025/3/13,782,ジャグラーガールズ,"-1,300","5,124",13,16,チャリ店就任,リニューアルオープン,0
2025/3/13,783,ジャグラーガールズ,-700,"6,577",21,22,チャリ店就任,リニューアルオープン,0
2025/3/13,784,ジャグラーガールズ,200,"5,381",23,13,チャリ店就任,リニューアルオープン,0
2025/3/13,785,ジャグラーガールズ,-300,"7,445",28,19,チャリ店就任,リニューアルオープン,0
2025/3/13,786,ジャグラーガールズ,"-1,400","4,393",14,5,チャリ店就任,リニューアルオープン,0
2025/3/13,787,ウルトラミラクルジャグラー,"-2,700","5,890",16,6,チャリ店就任,リニューアルオープン,0
2025/3/13,788,ウルトラミラクルジャグラー,-500,"4,490",18,6,チャリ店就任,リニューアルオープン,0
2025/3/13,789,ウルトラミラクルジャグラー,"-1,300","5,193",15,10,チャリ店就任,リニューアルオープン,0
2025/3/13,790,ウルトラミラクルジャグラー,-400,"6,787",24,22,チャリ店就任,リニューアルオープン,0
2025/3/13,777,ミスタージャグラー,0,"5,442",22,11,チャリ店就任,リニューアルオープン,0
2025/3/13,778,ミスタージャグラー,-600,"7,017",25,20,チャリ店就任,リニューアルオープン,0
2025/3/13,779,ミスタージャグラー,-300,"6,780",23,24,チャリ店就任,リニューアルオープン,0
2025/3/13,780,ミスタージャグラー,0,"4,853",20,8,チャリ店就任,リニューアルオープン,0
2025/3/14,798,マイジャグラーV,"-1,000","4,809",15,8,ファン感,リニューアルオープン,0
2025/3/14,799,マイジャグラーV,-400,"4,434",20,4,ファン感,リニューアルオープン,0
2025/3/14,800,マイジャグラーV,"-1,000","2,612",6,5,ファン感,リニューアルオープン,0
2025/3/14,801,マイジャグラーV,"2,900","8,558",46,17,ファン感,リニューアルオープン,0
2025/3/14,802,マイジャグラーV,-200,"6,755",24,22,ファン感,リニューアルオープン,0
2025/3/14,803,マイジャグラーV,-100,"3,948",15,8,ファン感,リニューアルオープン,0
2025/3/14,804,マイジャグラーV,600,"8,943",30,36,ファン感,リニューアルオープン,0
2025/3/14,805,マイジャグラーV,600,"7,377",31,21,ファン感,リニューアルオープン,0
2025/3/14,806,マイジャグラーV,700,"4,044",20,7,ファン感,リニューアルオープン,0
2025/3/14,807,マイジャグラーV,"1,800","4,887",28,11,ファン感,リニューアルオープン,0
2025/3/14,808,マイジャグラーV,300,"5,747",24,14,ファン感,リニューアルオープン,0
2025/3/14,809,マイジャグラーV,"-1,600","2,556",4,5,ファン感,リニューアルオープン,0
2025/3/14,810,マイジャグラーV,-300,"7,558",24,29,ファン感,リニューアルオープン,0
2025/3/14,811,マイジャグラーV,700,"6,218",22,27,ファン感,リニューアルオープン,0
2025/3/14,812,マイジャグラーV,"-1,700","6,450",17,20,ファン感,リニューアルオープン,0
2025/3/14,813,マイジャグラーV,400,"5,393",22,14,ファン感,リニューアルオープン,0
2025/3/14,814,マイジャグラーV,-500,"5,231",20,9,ファン感,リニューアルオープン,0
2025/3/14,815,マイジャグラーV,"1,000","5,545",24,19,ファン感,リニューアルオープン,0
2025/3/14,816,マイジャグラーV,"1,200","5,556",26,17,ファン感,リニューアルオープン,0
2025/3/14,817,マイジャグラーV,100,"8,297",31,27,ファン感,リニューアルオープン,0
2025/3/14,818,マイジャグラーV,-200,"5,201",18,16,ファン感,リニューアルオープン,0
2025/3/14,819,マイジャグラーV,-100,"5,674",20,17,ファン感,リニューアルオープン,0
2025/3/14,820,マイジャグラーV,-300,"6,080",19,24,ファン感,リニューアルオープン,0
2025/3/14,821,マイジャグラーV,-400,"4,425",13,17,ファン感,リニューアルオープン,0
2025/3/14,822,マイジャグラーV,-500,"4,658",16,8,ファン感,リニューアルオープン,0
2025/3/14,823,マイジャグラーV,800,"5,629",25,16,ファン感,リニューアルオープン,0
2025/3/14,791,アイムジャグラーEX,"1,900","7,109",35,18,ファン感,リニューアルオープン,0
2025/3/14,792,アイムジャグラーEX,600,"4,754",22,12,ファン感,リニューアルオープン,0
2025/3/14,793,アイムジャグラーEX,300,"5,020",22,8,ファン感,リニューアルオープン,0
2025/3/14,794,アイムジャグラーEX,-900,"3,951",12,11,ファン感,リニューアルオープン,0
2025/3/14,795,アイムジャグラーEX,-600,"5,512",16,17,ファン感,リニューアルオープン,0
2025/3/14,796,アイムジャグラーEX,300,"5,628",22,16,ファン感,リニューアルオープン,0
2025/3/14,797,アイムジャグラーEX,200,"4,643",17,16,ファン感,リニューアルオープン,0
2025/3/14,824,アイムジャグラーEX,"1,000","5,399",25,12,ファン感,リニューアルオープン,0
2025/3/14,825,アイムジャグラーEX,-300,"2,664",9,4,ファン感,リニューアルオープン,0
2025/3/14,826,アイムジャグラーEX,-900,"2,598",6,6,ファン感,リニューアルオープン,0
2025/3/14,827,アイムジャグラーEX,700,"6,258",26,18,ファン感,リニューアルオープン,0
2025/3/14,828,アイムジャグラーEX,-600,"1,866",5,5,ファン感,リニューアルオープン,0
2025/3/14,829,アイムジャグラーEX,"-1,200","4,176",11,9,ファン感,リニューアルオープン,0
2025/3/14,830,アイムジャグラーEX,-600,"5,009",16,13,ファン感,リニューアルオープン,0
2025/3/14,745,ゴーゴージャグラー3,"1,700","4,584",26,14,ファン感,リニューアルオープン,0
2025/3/14,746,ゴーゴージャグラー3,-800,"4,189",13,13,ファン感,リニューアルオープン,0
2025/3/14,747,ゴーゴージャグラー3,300,"5,333",21,16,ファン感,リニューアルオープン,0
2025/3/14,748,ゴーゴージャグラー3,300,"3,897",18,7,ファン感,リニューアルオープン,0
2025/3/14,749,ゴーゴージャグラー3,-600,"5,467",22,11,ファン感,リニューアルオープン,0
2025/3/14,750,ゴーゴージャグラー3,"-1,900","5,755",18,8,ファン感,リニューアルオープン,0
2025/3/14,771,ゴーゴージャグラー3,"-1,000","2,649",8,6,ファン感,リニューアルオープン,0
2025/3/14,772,ゴーゴージャグラー3,-600,"7,036",28,17,ファン感,リニューアルオープン,0
2025/3/14,773,ゴーゴージャグラー3,500,"5,786",28,12,ファン感,リニューアルオープン,0
2025/3/14,774,ゴーゴージャグラー3,-300,"4,898",16,21,ファン感,リニューアルオープン,0
2025/3/14,775,ゴーゴージャグラー3,300,"6,076",25,18,ファン感,リニューアルオープン,0
2025/3/14,776,ゴーゴージャグラー3,-600,"4,900",20,9,ファン感,リニューアルオープン,0
2025/3/14,735,ファンキージャグラー,400,"6,040",25,15,ファン感,リニューアルオープン,0
2025/3/14,736,ファンキージャグラー,"1,300","4,420",25,4,ファン感,リニューアルオープン,0
2025/3/14,737,ファンキージャグラー,-600,"4,805",14,15,ファン感,リニューアルオープン,0
2025/3/14,738,ファンキージャグラー,300,"4,118",20,7,ファン感,リニューアルオープン,0
2025/3/14,739,ファンキージャグラー,"-1,100","3,754",12,6,ファン感,リニューアルオープン,0
2025/3/14,740,ファンキージャグラー,0,"5,184",20,13,ファン感,リニューアルオープン,0
2025/3/14,741,ファンキージャグラー,"-1,000","2,113",4,5,ファン感,リニューアルオープン,0
2025/3/14,742,ファンキージャグラー,"2,300","7,215",36,20,ファン感,リニューアルオープン,0
2025/3/14,743,ファンキージャグラー,-400,"1,038",3,1,ファン感,リニューアルオープン,0
2025/3/14,744,ファンキージャグラー,-400,"4,591",15,14,ファン感,リニューアルオープン,0
2025/3/14,781,ジャグラーガールズ,"1,300","5,967",25,24,ファン感,リニューアルオープン,0
2025/3/14,782,ジャグラーガールズ,100,"4,280",15,15,ファン感,リニューアルオープン,0
2025/3/14,783,ジャグラーガールズ,"2,300","7,566",34,30,ファン感,リニューアルオープン,0
2025/3/14,784,ジャグラーガールズ,"1,600","6,484",32,18,ファン感,リニューアルオープン,0
2025/3/14,785,ジャグラーガールズ,"1,300","6,962",30,24,ファン感,リニューアルオープン,0
2025/3/14,786,ジャグラーガールズ,"1,000","4,614",20,16,ファン感,リニューアルオープン,0
2025/3/14,787,ウルトラミラクルジャグラー,-500,"5,290",19,12,ファン感,リニューアルオープン,0
2025/3/14,788,ウルトラミラクルジャグラー,100,"2,974",12,7,ファン感,リニューアルオープン,0
2025/3/14,789,ウルトラミラクルジャグラー,"-1,000","5,594",18,15,ファン感,リニューアルオープン,0
2025/3/14,790,ウルトラミラクルジャグラー,"1,100","5,758",30,10,ファン感,リニューアルオープン,0
2025/3/14,777,ミスタージャグラー,-300,"3,229",11,8,ファン感,リニューアルオープン,0
